,name_i,name_j,spearman,n_words
133,GloVe_Twitter,SVD_sim_rel,0.0147286887702692,5298
134,GloVe_Twitter,microarray,0.2442430926820645,625
135,GloVe_Twitter,EEG_speech,0.1173894025902501,1564
136,GloVe_Twitter,EEG_text,0.0822125998736903,3251
137,GloVe_Twitter,fMRI_speech_cognival,0.0010986770308573,575
138,GloVe_Twitter,fMRI_text_cognival,0.0321871543764904,1152
139,GloVe_Twitter,fMRI_text_denoise,0.003779264042531,1096
140,GloVe_Twitter,eye_tracking,0.1225502140059122,7056
141,GloVe_Wikipedia,LexVec_CommonCrawl,0.4916831943834676,39368
142,GloVe_Wikipedia,morphoNLM,0.3114989032037405,32568
143,GloVe_Wikipedia,spherical_text_Wikipedia,0.3629845687532964,35512
144,GloVe_Wikipedia,PPMI_SVD_SWOW,0.2924384954369592,11505
145,GloVe_Wikipedia,SGSoftMaxInput_SWOW,0.2473169468845317,11505
146,GloVe_Wikipedia,SGSoftMaxOutput_SWOW,0.079690202627903,24162
147,GloVe_Wikipedia,PPMI_SVD_SouthFlorida,0.1161028191237032,4957
148,GloVe_Wikipedia,PPMI_SVD_EAT,0.1901804845133173,7730
149,GloVe_Wikipedia,THINGS,0.2876527835648862,1530
150,GloVe_Wikipedia,feature_overlap,0.3568827976468795,4377
151,GloVe_Wikipedia,norms_sensorimotor,0.0359374858783305,31452
152,GloVe_Wikipedia,compo_attribs,0.3361246767892626,532
153,GloVe_Wikipedia,SVD_sim_rel,0.0143695740547377,5833
154,GloVe_Wikipedia,microarray,0.197751636588166,625
155,GloVe_Wikipedia,EEG_speech,0.1021643955261256,1585
156,GloVe_Wikipedia,EEG_text,0.0862296957739996,3306
157,GloVe_Wikipedia,fMRI_speech_cognival,0.0032980738475652,576
158,GloVe_Wikipedia,fMRI_text_cognival,0.0312540026112298,1164
159,GloVe_Wikipedia,fMRI_text_denoise,0.0057529542511164,1108
160,GloVe_Wikipedia,eye_tracking,0.1131388086514935,7327
161,LexVec_CommonCrawl,morphoNLM,0.3080172775102004,32741
162,LexVec_CommonCrawl,spherical_text_Wikipedia,0.3742602226456678,35482
163,LexVec_CommonCrawl,PPMI_SVD_SWOW,0.3199390995123969,11512
164,LexVec_CommonCrawl,SGSoftMaxInput_SWOW,0.2802282832222398,11512
165,LexVec_CommonCrawl,SGSoftMaxOutput_SWOW,0.1111535087314739,24233
166,LexVec_CommonCrawl,PPMI_SVD_SouthFlorida,0.1364064331771988,4956
167,LexVec_CommonCrawl,PPMI_SVD_EAT,0.2163618451326641,7757
