embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,olfactory_lancaster,5828,4,0.6550402072184378,pass
BERT_base&Llama_3_8B,olfactory_lancaster,5828,5,0.5669389580580474,pass
BERT_base&Llama_3_8B,gustatory_lancaster,5828,1,0.7985555645292124,pass
BERT_base&Llama_3_8B,gustatory_lancaster,5828,2,0.6944233786248151,pass
BERT_base&Llama_3_8B,gustatory_lancaster,5828,3,0.7280004008328591,pass
BERT_base&Llama_3_8B,gustatory_lancaster,5828,4,0.7590786005388832,pass
BERT_base&Llama_3_8B,gustatory_lancaster,5828,5,0.7496577085930496,pass
BERT_base&Llama_3_8B,interoceptive_lancaster,5828,1,0.665659709507626,pass
BERT_base&Llama_3_8B,interoceptive_lancaster,5828,2,0.6477384742657313,pass
BERT_base&Llama_3_8B,interoceptive_lancaster,5828,3,0.6911594922211766,pass
BERT_base&Llama_3_8B,interoceptive_lancaster,5828,4,0.6441964265007756,pass
BERT_base&Llama_3_8B,interoceptive_lancaster,5828,5,0.6571832672402584,pass
BERT_base&Llama_3_8B,head_lancaster,5828,1,0.4163416368971027,pass
BERT_base&Llama_3_8B,head_lancaster,5828,2,0.38112838127035475,pass
BERT_base&Llama_3_8B,head_lancaster,5828,3,0.4363607314757668,pass
BERT_base&Llama_3_8B,head_lancaster,5828,4,0.4382203742864159,pass
BERT_base&Llama_3_8B,head_lancaster,5828,5,0.42768238863334174,pass
BERT_base&Llama_3_8B,torso_lancaster,5828,1,0.5096613507862378,pass
BERT_base&Llama_3_8B,torso_lancaster,5828,2,0.477603667352934,pass
BERT_base&Llama_3_8B,torso_lancaster,5828,3,0.46063603373503814,pass
BERT_base&Llama_3_8B,torso_lancaster,5828,4,0.4936985981566153,pass
BERT_base&Llama_3_8B,torso_lancaster,5828,5,0.49109820650987956,pass
BERT_base&Llama_3_8B,mouth_throat_lancaster,5828,1,0.6320153846428135,pass
BERT_base&Llama_3_8B,mouth_throat_lancaster,5828,2,0.5681752214199365,pass
BERT_base&Llama_3_8B,mouth_throat_lancaster,5828,3,0.5445595911317402,pass
BERT_base&Llama_3_8B,mouth_throat_lancaster,5828,4,0.6143484238964914,pass
BERT_base&Llama_3_8B,mouth_throat_lancaster,5828,5,0.632960572814293,pass
BERT_base&Llama_3_8B,hand_arm_lancaster,5828,1,0.5418727949262734,pass
BERT_base&Llama_3_8B,hand_arm_lancaster,5828,2,0.5472595489122934,pass
BERT_base&Llama_3_8B,hand_arm_lancaster,5828,3,0.5272427162889696,pass
BERT_base&Llama_3_8B,hand_arm_lancaster,5828,4,0.554619406822953,pass
BERT_base&Llama_3_8B,hand_arm_lancaster,5828,5,0.5554763669914744,pass
BERT_base&Llama_3_8B,foot_leg_lancaster,5828,1,0.5532847544227368,pass
BERT_base&Llama_3_8B,foot_leg_lancaster,5828,2,0.5446815008398129,pass
BERT_base&Llama_3_8B,foot_leg_lancaster,5828,3,0.5328169852313265,pass
BERT_base&Llama_3_8B,foot_leg_lancaster,5828,4,0.5396420771731605,pass
BERT_base&Llama_3_8B,foot_leg_lancaster,5828,5,0.5735934113669843,pass
BERT_base&Llama_3_8B,body_object_interact_pexman,3920,1,0.7454747448009871,pass
BERT_base&Llama_3_8B,body_object_interact_pexman,3920,2,0.7262479822710048,pass
BERT_base&Llama_3_8B,body_object_interact_pexman,3920,3,0.7024083954779532,pass
BERT_base&Llama_3_8B,body_object_interact_pexman,3920,4,0.7160631879785124,pass
BERT_base&Llama_3_8B,body_object_interact_pexman,3920,5,0.7253794766700375,pass
BERT_base&Llama_3_8B,child_body_object_interact,2105,1,0.6600550012158193,pass
BERT_base&Llama_3_8B,child_body_object_interact,2105,2,0.6048565655190878,pass
BERT_base&Llama_3_8B,child_body_object_interact,2105,3,0.6119486088524981,pass
BERT_base&Llama_3_8B,child_body_object_interact,2105,4,0.6038309909567787,pass
